subject_code,section_code,mode,test_slug,question_id,prompt,choiceA,choiceB,choiceC,choiceD,choiceE,correct,explanation,difficulty,tags,image_url
APMACRO,FS,SECTION,,Q113,Which of the following would be considered contractionary monetary policy?,The purchase of bonds,The sale of bonds,An increase in taxes,An increase in government spending,A decrease in the discount rate,B,"B   Contractionary monetary policy is when the government's actions reduce the overall money supply in the economy. Purchasing bonds, increasing taxes (and spending the additional tax revenue), increasing government spending, and decreasing the discount rate all increase the supply of money, so eliminate (A), (C), (D) and (E). Selling bonds reduces the overall money supply in the economy; therefore, the answer is (B).",,,
APMACRO,BEC,SECTION,,Q114,"Output in country A is 1,200 units and its population is 100 persons. Output in country B is 2,400 units and its population is 400 persons.",Country A has a higher standard of living than country B.,Country A has a lower standard of living than country B.,Country A and B have identical living standards.,Country A is less productive than country B.,More information is needed to determine which country has the higher standard of living.,A,(A),,,
APMACRO,BEC,SECTION,,Q115,"Output in country X is 30,000 units and there are 3,000 persons working, while country Z has an output of 40,000 units and 8,000 workers.",The productivity of labor in country Z is 33 percent higher than in country X.,The productivity of labor in country Z is 25 percent higher than in country X.,The productivity of labor in country X is 33 percent higher than in country Z.,The productivity of labor in country X is 25 percent higher than in country Z.,The productivity of labor in country X is twice as much as country Z.,E,(E),,,
APMACRO,BEC,SECTION,,Q116,The government can promote economic growth by,setting a minimum wage.,regulating industry.,taxing firms that waste resources.,job training programs.,restricting imports.,D,(D),,,
APMACRO,BEC,SECTION,,Q117,Private industry can promote economic growth by,implementing innovative production techniques.,offering products at artificially low prices.,giving a significant amount of profits to charity.,hiring workers who are not really needed.,adhering to environmental standards.,A,(A),,,
APMACRO,EIBC,SECTION,,Q118,The size of the labor force in Japan is expected to shrink beginning in 2010 as a large segment of its population retires. This will,affect labor productivity more than economic growth.,affect economic growth more than labor productivity.,not have a major effect on economic growth or labor productivity.,affect labor productivity and economic growth equally.,shift Japan's aggregate supply curve to the right.,B,(B),,,
APMACRO,BEC,SECTION,,Q119,"If the standard of living increases, we can conclude that",output must have increased.,population must have increased.,output and population must have increased.,population must have decreased.,output must have increased proportionally more than population.,E,(E),,,
APMACRO,EIBC,SECTION,,Q120,"If real GDP per capita grows at a rate of 10 percent a year, then we can expect the standard of living to double in",10 years.,9 years.,8 years.,7 years.,5 years.,D,(D),,,
APMACRO,OEITF,SECTION,,Q121,When a country has a balance of trade deficit,it must make up the difference by shipping gold to its creditors.,its exports exceed its imports.,its currency will appreciate.,corrective actions must be taken.,its imports exceed its exports.,E,(E),,,
APMACRO,FS,SECTION,,Q122,A balance of trade surplus can be the result of,a loose monetary policy.,foreigners having no taste for this country's products.,an appreciation of the country's currency.,low levels of income relative to other nations.,high domestic prices.,D,(D),,,
APMACRO,BEC,SECTION,,Q123,One strategy a corporation may use to gain market share in a foreign market is,raising the price of its product.,convincing its government to put an import tariff on the product.,convincing its government to place a quota on the product.,cornering.,dumping.,E,(E),,,
APMACRO,FS,SECTION,,Q124,In what ways is contractionary fiscal policy in the United States likely to affect domestic interest rates and the international value of the dollar?,Interest rates increase and the dollar depreciates.,Interest rates decrease and the dollar appreciates.,Interest rates increase and the dollar appreciates.,Interest rates decrease and the dollar is not affected.,Interest rates decrease and the dollar depreciates.,E,"E   Contractionary fiscal policy starts with the government decreasing its spending (or increasing taxes). As the government demand for loanable funds has decreased, the interest rate drops, leading to a decrease in demand of the domestic currency. Therefore the answer is (E).",,,
APMACRO,BEC,SECTION,,Q125,Tariffs and quotas,result in higher domestic prices.,promote trade between nations.,do not necessarily affect domestic prices.,affect domestic prices: the former raises them while the latter lowers them.,are ways to fight inflation.,A,(A),,,
APMACRO,BEC,SECTION,,Q126,Tariffs and quotas,result in lower domestic prices.,sometimes raise and sometimes lower the amount of the product sold domestically.,lower the amount of the product sold domestically.,raise the amount of the product sold domestically.,do not affect domestic prices or quantities.,C,(C),,,
APMACRO,BEC,SECTION,,Q127,Which of the following is NOT an argument for restricting trade?,To protect infant industry,To promote employment,To fight inflation,To promote a diversity of industries,To prevent dumping,C,(C),,,
APMACRO,OEITF,SECTION,,Q128,A balance of payments deficit means that a country has,imported more than it has exported.,exported more than it has imported.,taken in more money than it has sent abroad.,lowered its official reserve position.,lost gold to foreign nations.,D,(D),,,
APMACRO,OEITF,SECTION,,Q129,"If a country has a negative value on its current account, then it must",pay that amount to its trading partners.,have a positive value of equal magnitude on its capital account.,depreciate its currency.,appreciate its currency.,send gold abroad,B,(B),,,
APMACRO,OEITF,SECTION,,Q130,With a managed float,countries occasionally intervene in foreign exchange markets.,countries never have to intervene in foreign exchange markets.,countries must constantly intervene to maintain the value of their currencies.,exchange rates are fixed.,each currency is worth a stated amount of gold.,A,(A),,,
APMACRO,EIBC,SECTION,,Q131,An expansionary monetary policy tends to,improve the balance of trade.,have no effect on imports.,worsen the balance of trade.,have no effect on exports.,have an ambiguous effect on the balance of trade.,C,(C),,,
APMACRO,OEITF,SECTION,,Q132,"In the balance of payments, the trade balance",is ignored.,appears in the capital account.,appears in the current account,is included in the official reserves.,"is counted as part of ""net transfers.""",C,(C),,,
APMACRO,FS,SECTION,,Q133,"If interest rates rise in the United States relative to other nations, then",the value of the dollar will tend to appreciate.,the value of the dollar will tend to depreciate.,exchange rates will be affected but not the value of the dollar.,the exchange rate will not be affected.,the balance of trade will tend toward a surplus.,A,(A),,,
APMACRO,OEITF,SECTION,,Q134,"If prices rise in the United States relative to other countries, then",the value of the dollar will tend to appreciate.,the value of the dollar will tend to depreciate.,exchange rates will be affected but not the value of the dollar.,the exchange rate will not be affected.,the balance of trade will tend toward a surplus.,B,(B),,,
APMACRO,EIBC,SECTION,,Q135,Which of the following policies might the Fed adopt to counter a recession?,A decrease in taxes,An increase in government spending,An increase in the discount rate,An increase in the required reserve ratio,The purchase of bonds,E,"E   To counter a recession, the government needs to decrease the interest rates or increase the money supply. Increasing the discount rate increases the interest rate, and increasing the required reserve ratio lowers the money supply. Eliminate (C) and (D). Changes in taxes or government spending may not affect the money supply or the interest rate, so eliminate (A) and (B). Purchasing bonds increases the money supply, and therefore the answer is (E).",,,
APMACRO,OEITF,SECTION,,Q136,"If the demand for dollars rises while the supply of dollars falls, then the",dollar will appreciate.,dollar will depreciate.,exchange rates will be affected but not the value of the dollar.,exchange rate will not be affected.,balance of trade will tend toward a surplus.,A,(A),,,
